crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,salinity
Pigeonpea,26.24,10.69,0.041999999,1,2017,14,chhattisgarh,91447,53486,16993,durg,168.3659996,0.0
Pigeonpea,1.64,0.66000003,0.0,2,2017,14,chhattisgarh,21279,12584,4271,bastar,176.925998,0.0
Pigeonpea,2.28,0.57999998,0.022,3,2017,14,chhattisgarh,92008,47721,15054,raipur,133.5999976,0.0
Pigeonpea,7.1399999,2.8399999,0.0089999996,4,2017,14,chhattisgarh,72926,29713,6915,bilaspur,124.93799999999999,0.390813256
Pigeonpea,6.77,2.9300001,0.0,5,2017,14,chhattisgarh,31282,13620,3707,raigarh,117.51399999999998,0.0
Pigeonpea,19.17,8.0600004,0.0,6,2017,14,chhattisgarh,21139,11878,4438,surguja,108.1539978,0.0
Pigeonpea,21.389999,23.450001,0.02,7,2017,6,madhya pradesh,62230,30800,2116,jabalpur,159.38600019999998,0.0
Pigeonpea,8.6999998,15.66,0.0,8,2017,6,madhya pradesh,18299,10688,575,balaghat,189.06199759999998,0.0
Pigeonpea,38.900002,46.68,0.69,9,2017,6,madhya pradesh,57518,20108,6518,chhindwara,185.89515,0.0
Pigeonpea,62.5,103.0,0.0,10,2017,6,madhya pradesh,21631,10429,2037,narsinghpur,158.994,0.0
Pigeonpea,13.7,22.559999,0.0,11,2017,6,madhya pradesh,48504,13250,1833,seoni / shivani,152.06233329669334,1.2181408771666666
Pigeonpea,18.9,20.889999,0.0,12,2017,6,madhya pradesh,11207,4172,136,mandla,177.174002,0.0
Pigeonpea,12.6,24.07,0.0,13,2017,6,madhya pradesh,20399,17510,506,sagar,168.20000194,0.026945804
Pigeonpea,36.200001,52.490002,0.0,14,2017,6,madhya pradesh,10634,9534,115,damoh,144.49599840000002,0.0
Pigeonpea,0.059999999,0.090000004,0.0,15,2017,6,madhya pradesh,8357,3862,98,tikamgarh,115.9400032,0.0
Pigeonpea,8.0,5.4000001,0.0,16,2017,6,madhya pradesh,14565,11159,140,chhatarpur,130.31999765999998,0.028967587
Pigeonpea,16.700001,27.540001,0.13,17,2017,6,madhya pradesh,6615,4493,54,panna,156.58800036,0.097995568
Pigeonpea,32.900002,22.6,0.0,18,2017,6,madhya pradesh,26124,11848,200,rewa,147.2839996,0.0
Pigeonpea,46.200001,59.02,0.0,19,2017,6,madhya pradesh,10828,4735,39,sidhi,150.6420014,0.0
Pigeonpea,75.0,115.28,0.029999999,20,2017,6,madhya pradesh,29067,15084,353,satna,135.52716178,0.077830968
Pigeonpea,39.75,39.68,0.88999999,21,2017,6,madhya pradesh,10825,6431,163,shahdol,142.7356784,0.0
Pigeonpea,20.610001,21.42,3.8800001,26,2017,6,madhya pradesh,49982,18447,680,morena,91.862,1.992025151
Pigeonpea,2.73,2.0599999,0.0,27,2017,6,madhya pradesh,28195,14286,258,bhind,93.0140002,9.704449373
Pigeonpea,2.55,3.8499999,0.0,28,2017,6,madhya pradesh,39595,20470,5622,indore,146.27000198000002,0.046443486
Pigeonpea,4.8000002,6.8200002,0.0,29,2017,6,madhya pradesh,35385,17110,4806,ratlam,162.3799974,5.433769244
Pigeonpea,0.87,0.66000003,0.0,30,2017,6,madhya pradesh,42030,30956,5569,ujjain,159.79599802,8.159691036
Pigeonpea,3.3,2.47,0.0,31,2017,6,madhya pradesh,43079,20401,6526,mandsaur,186.7980004008,9.485868506
Pigeonpea,9.0,10.89,0.0,32,2017,6,madhya pradesh,27680,15628,3499,dewas,130.34000204,1.117636308
Pigeonpea,7.5599999,11.19,0.050000001,33,2017,6,madhya pradesh,66096,32417,7376,dhar,150.002,0.253968898
Pigeonpea,8.6000004,8.6099997,0.0,34,2017,6,madhya pradesh,31046,8329,1223,jhabua,171.3199978,0.118634386
Pigeonpea,14.7,18.469999,0.0,37,2017,6,madhya pradesh,63904,34186,1417,sehore,161.75399794,0.0
Pigeonpea,33.700001,34.240002,0.0,38,2017,6,madhya pradesh,40839,23884,876,raisen,172.3180002,0.0
Pigeonpea,7.3000002,8.3199997,0.0,39,2017,6,madhya pradesh,23628,20800,801,vidisha,158.76000196,0.0
Pigeonpea,28.200001,33.330002,0.0,40,2017,6,madhya pradesh,32640,10643,1553,betul,141.0400004,0.0
Pigeonpea,6.1599998,7.4400001,0.0,41,2017,6,madhya pradesh,35199,21501,1209,rajgarh,151.856004,0.0
Pigeonpea,5.0999999,4.2199998,0.0,42,2017,6,madhya pradesh,27278,21798,3008,shajapur,151.51200402,0.0
Pigeonpea,18.0,26.450001,0.0,43,2017,6,madhya pradesh,87707,51050,5087,hoshangabad,170.60399999999998,0.0
Pigeonpea,1.15,0.73000002,0.0,44,2017,1,andhra pradesh,55301,19214,13016,srikakulam,157.83600080000002,0.0
Pigeonpea,2.0699999,1.11,0.0,45,2017,1,andhra pradesh,48118,9836,7491,visakhapatnam,140.30351762857146,6.315481563285714
Pigeonpea,2.3099999,0.88,0.0,46,2017,1,andhra pradesh,84246,30862,28384,east godavari,184.89883,0.0
Pigeonpea,0.19,0.11,0.050000001,47,2017,1,andhra pradesh,106191,49578,46863,west godavari,172.00178999999997,0.0
Pigeonpea,2.28,3.0999999,0.0,48,2017,1,andhra pradesh,84529,39105,20768,krishna,141.0099996,11.94890312
Pigeonpea,68.230003,47.470001,0.82999998,49,2017,1,andhra pradesh,173584,89900,25004,guntur,120.18400240000001,16.86394141
Pigeonpea,34.119999,13.61,0.0,50,2017,1,andhra pradesh,98386,38207,20817,s.p.s. nellore,140.30351762857146,6.315481563285714
Pigeonpea,79.379997,34.220001,1.59,51,2017,1,andhra pradesh,140564,80498,24777,kurnool,90.3740004,12.74332121
Pigeonpea,72.809998,14.13,0.029999999,52,2017,1,andhra pradesh,38288,26127,12070,ananthapur,140.30351762857146,6.315481563285714
Pigeonpea,8.96,2.7,0.11,53,2017,1,andhra pradesh,47161,24126,12776,kadapa ysr,140.30351762857146,6.315481563285714
Pigeonpea,8.0100002,2.04,0.039999999,54,2017,1,andhra pradesh,43320,15960,8962,chittoor,115.82000020000001,2.652205203
Pigeonpea,56.82,42.439999,0.0,55,2017,20,telangana,29965,15280,10357,hyderabad,217.33800000000002,0.0
Pigeonpea,7.23,7.8899999,0.0,56,2017,20,telangana,93054,30033,11208,nizamabad,164.180004,1.724911466
Pigeonpea,30.83,24.6,0.0,57,2017,20,telangana,13194,8958,2670,medak,179.11200200000002,1.005789909
Pigeonpea,142.96001,113.07,0.0,58,2017,20,telangana,74046,35010,8556,mahabubnagar,142.220752,17.58192712
Pigeonpea,26.860001,16.110001,0.0,59,2017,20,telangana,33043,14763,5605,nalgonda,137.772004,15.80632803
Pigeonpea,9.1700001,9.1499996,0.003,60,2017,20,telangana,122203,31481,16202,warangal,180.102,9.879514253249999
Pigeonpea,4.8000002,4.0500002,0.013,61,2017,20,telangana,15181,8795,3643,khammam,171.039998,31.33744182
Pigeonpea,4.6799998,3.26,0.0070000002,62,2017,20,telangana,12532,5973,1849,karimnagar,146.0600002,11.12488977
Pigeonpea,47.009998,43.189999,0.0,63,2017,20,telangana,59648,13502,6270,adilabad,143.7000018,0.454825911
Pigeonpea,5.3200002,4.1300001,0.18000001,64,2017,5,karnataka,37554,15679,5330,bangalore,133.7337138285714,15.980580837714285
Pigeonpea,13.02,13.83,1.14,65,2017,5,karnataka,29931,18362,7165,kolar,161.51399980000002,0.086816909
Pigeonpea,10.96,2.8699999,3.3399999,66,2017,5,karnataka,24548,13290,6346,tumkur,133.7337138285714,15.980580837714285
Pigeonpea,2.8099999,2.26,0.27000001,67,2017,5,karnataka,46920,23006,18188,mysore,133.7337138285714,15.980580837714285
Pigeonpea,1.05,0.68000001,0.0099999998,68,2017,5,karnataka,49044,13855,9299,mandya,111.8459986,0.102585889
Pigeonpea,1.62,1.27,0.0,69,2017,5,karnataka,32894,19091,15439,hassan,134.8999998,0.025147948
Pigeonpea,21.48,18.540001,0.55000001,72,2017,5,karnataka,63447,36388,13890,chitradurga,107.3119996,5.517792473
Pigeonpea,9.3599997,7.6900001,1.54,73,2017,5,karnataka,70669,37463,13491,bellary,133.7337138285714,15.980580837714285
Pigeonpea,5.4699998,3.76,0.28999999,74,2017,5,karnataka,62588,31066,12903,dharwad,101.1859994,63.78398811
Pigeonpea,6.2800002,4.2800002,0.12,75,2017,5,karnataka,92878,39229,33264,belgaum,133.7337138285714,15.980580837714285
Pigeonpea,285.57001,175.61,31.209999,76,2017,5,karnataka,73977,37407,23520,bijapur / vijayapura,133.7337138285714,15.980580837714285
Pigeonpea,78.68,129.91,0.0,77,2017,5,karnataka,10275,8497,2388,bidar,182.3059998,2.144761905
Pigeonpea,55.439999,36.919998,1.01,78,2017,5,karnataka,115832,62617,22756,raichur,137.07199980000001,40.20297263
Pigeonpea,386.84,436.87,8.3699999,79,2017,5,karnataka,70290,46001,12551,gulbarga / kalaburagi,133.7337138285714,15.980580837714285
Pigeonpea,0.23,0.25,0.011,84,2017,11,tamil nadu,85137,31903,28361,south arcot / cuddalore,90.957658345,22.457356760750002
Pigeonpea,11.05,13.32,0.028000001,85,2017,11,tamil nadu,68430,23100,18324,north arcot / vellore,90.957658345,22.457356760750002
Pigeonpea,19.77,22.950001,0.0040000002,86,2017,11,tamil nadu,46708,30730,23106,salem,103.4600002,1.03138624
Pigeonpea,0.77999997,0.85000002,0.0020000001,87,2017,11,tamil nadu,26117,14250,21215,coimbatore,94.0090166,7.470587913
Pigeonpea,9.6700001,7.8000002,0.0089999996,88,2017,11,tamil nadu,68490,25236,26076,tiruchirapalli / trichy,90.957658345,22.457356760750002
Pigeonpea,0.50999999,0.52999997,0.0020000001,89,2017,11,tamil nadu,70852,27786,27935,thanjavur,96.4236164,49.72568708
Pigeonpea,6.2399998,7.02,0.0049999999,90,2017,11,tamil nadu,34392,15902,13182,madurai,69.93800017999999,31.60176581
Pigeonpea,0.75,0.81999999,0.12,91,2017,11,tamil nadu,40673,6659,3086,ramananthapuram,90.957658345,22.457356760750002
Pigeonpea,0.029999999,0.039999999,0.001,92,2017,11,tamil nadu,27878,10765,7054,thirunelveli,90.957658345,22.457356760750002
Pigeonpea,2.5,1.2,0.0,96,2017,7,maharashtra,16562,2610,2021,thane,672.479998,2.603828331
Pigeonpea,0.30000001,0.2,0.0,97,2017,7,maharashtra,8955,1235,1219,raigad,732.2040079999999,6.553890926
Pigeonpea,30.9,20.9,0.0,100,2017,7,maharashtra,74311,30280,28300,dhule,45.4260002,1.993371106
Pigeonpea,19.5,14.4,0.0,101,2017,7,maharashtra,96772,47696,74158,jalgaon,148.14599859999998,11.39637414
Pigeonpea,15.7,15.6,0.0,102,2017,7,maharashtra,105164,66273,41883,ahmednagar,329.434006,2.882446944
Pigeonpea,2.0,1.3,0.0,103,2017,7,maharashtra,97238,48290,34456,pune,806.091992,1.139323747
Pigeonpea,1.7,0.30000001,0.0,104,2017,7,maharashtra,49264,25804,19926,satara,873.9219999999999,0.486302781
Pigeonpea,7.4000001,2.2,0.0,105,2017,7,maharashtra,54620,27950,24678,sangli,416.236004,3.064618315
Pigeonpea,29.799999,18.700001,0.0,106,2017,7,maharashtra,101756,49267,38343,solapur,206.25199599999996,3.721281441
Pigeonpea,2.0,0.30000001,0.0,107,2017,7,maharashtra,70996,31024,30580,kolhapur,658.548004,1.226774015
Pigeonpea,118.3,95.199997,0.0,108,2017,7,maharashtra,136182,72462,41774,aurangabad,143.555394,0.870511425
